========== V1 详细装箱坐标 ==========

第1辆车，装载164件，容积利用率 65.62%，重量利用率 33.02%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G5, 0.0, 0.0, 0.0, 40.0, 40.0, 60.0
G5, 40.0, 0.0, 0.0, 40.0, 40.0, 60.0
G2, 80.0, 0.0, 0.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 0.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 0.0, 60.0, 40.0, 30.0
G4, 240.0, 0.0, 0.0, 80.0, 60.0, 50.0
G4, 320.0, 0.0, 0.0, 80.0, 60.0, 50.0
G2, 80.0, 35.0, 0.0, 50.0, 35.0, 25.0
G5, 130.0, 35.0, 0.0, 40.0, 40.0, 60.0
G4, 0.0, 40.0, 0.0, 80.0, 60.0, 50.0
G1, 180.0, 40.0, 0.0, 60.0, 40.0, 30.0
G4, 240.0, 60.0, 0.0, 80.0, 60.0, 50.0
G1, 320.0, 60.0, 0.0, 60.0, 40.0, 30.0
G2, 80.0, 70.0, 0.0, 50.0, 35.0, 25.0
G1, 180.0, 80.0, 0.0, 60.0, 40.0, 30.0
G2, 130.0, 75.0, 0.0, 50.0, 35.0, 25.0
G2, 0.0, 100.0, 0.0, 50.0, 35.0, 25.0
G4, 320.0, 100.0, 0.0, 80.0, 60.0, 50.0
G1, 180.0, 120.0, 0.0, 60.0, 40.0, 30.0
G2, 80.0, 105.0, 0.0, 50.0, 35.0, 25.0
G5, 380.0, 60.0, 0.0, 40.0, 40.0, 60.0
G2, 130.0, 110.0, 0.0, 50.0, 35.0, 25.0
G4, 240.0, 120.0, 0.0, 80.0, 60.0, 50.0
G3, 0.0, 135.0, 0.0, 70.0, 50.0, 40.0
G5, 80.0, 140.0, 0.0, 40.0, 40.0, 60.0
G1, 180.0, 160.0, 0.0, 60.0, 40.0, 30.0
G5, 130.0, 145.0, 0.0, 40.0, 40.0, 60.0
G3, 320.0, 160.0, 0.0, 70.0, 50.0, 40.0
G2, 80.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 30.0, 60.0, 40.0, 30.0
G2, 130.0, 0.0, 25.0, 50.0, 35.0, 25.0
G2, 80.0, 35.0, 25.0, 50.0, 35.0, 25.0
G2, 80.0, 70.0, 25.0, 50.0, 35.0, 25.0
G5, 180.0, 40.0, 30.0, 40.0, 40.0, 60.0
G1, 320.0, 60.0, 30.0, 60.0, 40.0, 30.0
G2, 130.0, 75.0, 25.0, 50.0, 35.0, 25.0
G4, 240.0, 0.0, 50.0, 80.0, 60.0, 50.0
G4, 320.0, 0.0, 50.0, 80.0, 60.0, 50.0
G5, 180.0, 80.0, 30.0, 40.0, 40.0, 60.0
G4, 0.0, 40.0, 50.0, 80.0, 60.0, 50.0
G5, 180.0, 120.0, 30.0, 40.0, 40.0, 60.0
G4, 240.0, 60.0, 50.0, 80.0, 60.0, 50.0
G2, 0.0, 100.0, 25.0, 50.0, 35.0, 25.0
G2, 80.0, 105.0, 25.0, 50.0, 35.0, 25.0
G1, 180.0, 160.0, 30.0, 60.0, 40.0, 30.0
G1, 0.0, 135.0, 40.0, 60.0, 40.0, 30.0
G1, 320.0, 160.0, 40.0, 60.0, 40.0, 30.0
G2, 130.0, 110.0, 25.0, 50.0, 35.0, 25.0
G2, 80.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 80.0, 35.0, 50.0, 50.0, 35.0, 25.0
G5, 320.0, 100.0, 50.0, 40.0, 40.0, 60.0
G5, 360.0, 100.0, 50.0, 40.0, 40.0, 60.0
G1, 240.0, 120.0, 50.0, 60.0, 40.0, 30.0
G2, 80.0, 70.0, 50.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 60.0, 60.0, 40.0, 30.0
G2, 130.0, 75.0, 50.0, 50.0, 35.0, 25.0
G5, 0.0, 0.0, 60.0, 40.0, 40.0, 60.0
G4, 240.0, 0.0, 100.0, 80.0, 60.0, 50.0
G5, 40.0, 0.0, 60.0, 40.0, 40.0, 60.0
G1, 320.0, 60.0, 60.0, 60.0, 40.0, 30.0
G2, 0.0, 100.0, 50.0, 50.0, 35.0, 25.0
G2, 80.0, 105.0, 50.0, 50.0, 35.0, 25.0
G1, 180.0, 160.0, 60.0, 60.0, 40.0, 30.0
G2, 130.0, 110.0, 50.0, 50.0, 35.0, 25.0
G5, 130.0, 35.0, 60.0, 40.0, 40.0, 60.0
G1, 0.0, 135.0, 70.0, 60.0, 40.0, 30.0
G1, 320.0, 160.0, 70.0, 60.0, 40.0, 30.0
G4, 320.0, 0.0, 100.0, 80.0, 60.0, 50.0
G1, 240.0, 120.0, 80.0, 60.0, 40.0, 30.0
G2, 80.0, 0.0, 75.0, 50.0, 35.0, 25.0
G2, 130.0, 0.0, 75.0, 50.0, 35.0, 25.0
G5, 380.0, 60.0, 60.0, 40.0, 40.0, 60.0
G2, 80.0, 70.0, 75.0, 50.0, 35.0, 25.0
G2, 130.0, 75.0, 75.0, 50.0, 35.0, 25.0
G4, 0.0, 40.0, 100.0, 80.0, 60.0, 50.0
G2, 0.0, 100.0, 75.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 90.0, 60.0, 40.0, 30.0
G1, 320.0, 60.0, 90.0, 60.0, 40.0, 30.0
G2, 80.0, 105.0, 75.0, 50.0, 35.0, 25.0
G2, 130.0, 110.0, 75.0, 50.0, 35.0, 25.0
G2, 180.0, 160.0, 90.0, 50.0, 35.0, 25.0
G2, 240.0, 60.0, 100.0, 50.0, 35.0, 25.0
G1, 0.0, 135.0, 100.0, 60.0, 40.0, 30.0
G5, 80.0, 140.0, 60.0, 40.0, 40.0, 60.0
G1, 320.0, 160.0, 100.0, 60.0, 40.0, 30.0
G5, 130.0, 145.0, 60.0, 40.0, 40.0, 60.0
G4, 240.0, 0.0, 150.0, 80.0, 60.0, 50.0
G2, 80.0, 70.0, 100.0, 50.0, 35.0, 25.0
G5, 180.0, 40.0, 90.0, 40.0, 40.0, 60.0
G2, 0.0, 100.0, 100.0, 50.0, 35.0, 25.0
G2, 80.0, 105.0, 100.0, 50.0, 35.0, 25.0
G2, 130.0, 110.0, 100.0, 50.0, 35.0, 25.0
G1, 240.0, 120.0, 110.0, 60.0, 40.0, 30.0
G1, 180.0, 0.0, 120.0, 60.0, 40.0, 30.0
G2, 180.0, 160.0, 115.0, 50.0, 35.0, 25.0
G5, 180.0, 80.0, 90.0, 40.0, 40.0, 60.0
G4, 0.0, 40.0, 150.0, 80.0, 60.0, 50.0
G2, 240.0, 60.0, 125.0, 50.0, 35.0, 25.0
G5, 320.0, 100.0, 110.0, 40.0, 40.0, 60.0
G5, 360.0, 100.0, 110.0, 40.0, 40.0, 60.0
G2, 0.0, 100.0, 125.0, 50.0, 35.0, 25.0
G1, 0.0, 135.0, 130.0, 60.0, 40.0, 30.0
G1, 320.0, 160.0, 130.0, 60.0, 40.0, 30.0
G2, 80.0, 105.0, 125.0, 50.0, 35.0, 25.0
G2, 240.0, 120.0, 140.0, 50.0, 35.0, 25.0
G2, 180.0, 160.0, 140.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 150.0, 60.0, 40.0, 30.0
G5, 80.0, 140.0, 120.0, 40.0, 40.0, 60.0
G2, 320.0, 0.0, 150.0, 50.0, 35.0, 25.0
G2, 240.0, 60.0, 150.0, 50.0, 35.0, 25.0
G2, 0.0, 100.0, 150.0, 50.0, 35.0, 25.0
G2, 0.0, 135.0, 160.0, 50.0, 35.0, 25.0
